Order_ID,Order_Date,Region,Sales_Channel,Customer_ID,Customer_Segment,Category,Product,Units_Sold,Unit_Price,Discount,Gross_Sales,Discount_Amount,Net_Sales,Cost,Profit
ORD100000,2023-04-13,West,Offline,CUST1453,Home Office,Electronics,Laptop,13,227.54,0.05,2958.02,147.901,2810.119,1765.76,1044.3590000000002
ORD100001,2024-03-11,North,Offline,CUST3318,Corporate,Office Supplies,Notebook,1,1254.55,0.05,1254.55,62.7275,1191.8225,848.28,343.5425
ORD100002,2023-09-28,West,Offline,CUST4306,Consumer,Electronics,Keyboard,12,1418.4,0.15,17020.800000000003,2553.1200000000003,14467.680000000002,8482.6,5985.080000000002
ORD100003,2023-04-17,West,Online,CUST4696,Home Office,Furniture,Desk,4,1322.51,0.0,5290.04,0.0,5290.04,3089.09,2200.95
ORD100004,2023-03-13,North,Online,CUST1486,Corporate,Furniture,Cabinet,8,301.94,0.15,2415.52,362.328,2053.192,1238.62,814.5720000000001
ORD100005,2024-12-01,East,Offline,CUST3024,Home Office,Office Supplies,Stapler,9,83.77,0.15,753.93,113.08949999999999,640.8405,359.42,281.4205
ORD100006,2023-01-21,North,Offline,CUST1578,Consumer,Office Supplies,Notebook,1,560.09,0.1,560.09,56.00900000000001,504.081,361.84,142.24100000000004
ORD100007,2024-09-06,East,Offline,CUST1338,Corporate,Furniture,Desk,14,535.49,0.05,7496.860000000001,374.8430000000001,7122.017000000001,4109.33,3012.687000000001
ORD100008,2023-05-02,West,Online,CUST1861,Corporate,Furniture,Bookshelf,6,611.85,0.05,3671.1000000000004,183.55500000000004,3487.5450000000005,2183.24,1304.3050000000007
ORD100009,2024-04-11,North,Online,CUST3805,Home Office,Furniture,Bookshelf,4,1199.48,0.15,4797.92,719.688,4078.232,2620.65,1457.5819999999999
ORD100010,2023-08-03,South,Offline,CUST3805,Consumer,Office Supplies,Marker,11,19.42,0.15,213.62,32.043,181.577,108.4,73.17699999999999
ORD100011,2023-11-27,East,Online,CUST3004,Consumer,Furniture,Cabinet,8,1013.85,0.05,8110.8,405.54,7705.26,5601.06,2104.2
ORD100012,2024-04-03,South,Offline,CUST2472,Corporate,Furniture,Bookshelf,1,1477.81,0.05,1477.81,73.8905,1403.9195,978.75,425.16949999999997
ORD100013,2023-03-29,East,Online,CUST3632,Home Office,Furniture,Table,5,601.73,0.05,3008.65,150.4325,2858.2175,1588.11,1270.1075000000003
ORD100014,2024-01-08,North,Offline,CUST3043,Corporate,Electronics,Keyboard,1,730.16,0.0,730.16,0.0,730.16,465.65,264.51
ORD100015,2023-04-10,South,Online,CUST4429,Corporate,Office Supplies,Marker,4,943.82,0.15,3775.28,566.292,3208.9880000000003,1853.37,1355.6180000000004
ORD100016,2024-10-25,North,Online,CUST4121,Home Office,Office Supplies,Paper,12,431.95,0.15,5183.4,777.5099999999999,4405.889999999999,2986.27,1419.6199999999994
ORD100017,2023-05-11,East,Online,CUST2520,Consumer,Office Supplies,Marker,2,1079.18,0.1,2158.36,215.836,1942.5240000000001,1260.02,682.5040000000001
ORD100018,2024-10-23,East,Online,CUST3394,Corporate,Office Supplies,Notebook,13,308.48,0.1,4010.2400000000002,401.02400000000006,3609.2160000000003,2568.69,1040.5260000000003
ORD100019,2023-11-05,East,Online,CUST1702,Corporate,Electronics,Monitor,10,101.86,0.2,1018.6,203.72000000000003,814.88,559.68,255.20000000000005
ORD100020,2023-12-10,East,Online,CUST1293,Home Office,Electronics,Laptop,9,1202.99,0.05,10826.91,541.3455,10285.5645,7340.87,2944.6945000000005
ORD100021,2024-05-06,West,Online,CUST4761,Home Office,Electronics,Laptop,2,268.9,0.05,537.8,26.89,510.90999999999997,370.55,140.35999999999996
ORD100022,2024-02-18,East,Offline,CUST4745,Corporate,Electronics,Monitor,4,1098.58,0.2,4394.32,878.864,3515.4559999999997,2060.51,1454.9459999999995
ORD100023,2024-01-21,South,Offline,CUST2174,Consumer,Electronics,Laptop,3,1307.6,0.15,3922.7999999999997,588.42,3334.3799999999997,2223.07,1111.3099999999995
ORD100024,2023-07-11,East,Offline,CUST2606,Home Office,Office Supplies,Marker,1,73.43,0.05,73.43,3.6715000000000004,69.75850000000001,40.59,29.16850000000001
